# index ABMAG VEGAMAG name fullname
1 4.81 4.81 v "Johnson V (from Bessell 1990 via M. Blanton) - this defines V=0 for the Vega system"
2 6.35 5.55 u "Johnson U (from Bessell 1990 via M. Blanton)"
3 5.35 5.46 b "Johnson B (from Bessell 1990 via M. Blanton)"
4 5.3 5.41 buser_b2 "Johnson B (from BC03. This is the B2 filter from Buser)"
5 4.6 4.41 cousins_r "Cousins R (from Bessell 1990 via M. Blanton)"
6 4.52 4.1 cousins_i "Cousins I (from Bessell 1990 via M. Blanton)"
7 5.28 5.41 cfht_b "CFHT B-band (from Blanton's kcorrect)"
8 4.59 4.37 cfht_r "CFHT R-band (from Blanton's kcorrect)"
9 4.52 4.08 cfht_i "CFHT I-band (from Blanton's kcorrect)"
10 4.56 3.67 2mass_j "2MASS J filter (total response w/atm)"
11 4.7 3.34 2mass_h "2MASS H filter (total response w/atm))"
12 5.14 3.3 2mass_ks "2MASS Ks filter (total response w/atm)"
13 6.39 5.47 sdss_u "SDSS Camera u Response Function, airmass = 1.3 (June 2001)"
14 5.12 5.23 sdss_g "SDSS Camera g Response Function, airmass = 1.3 (June 2001)"
15 4.64 4.5 sdss_r "SDSS Camera r Response Function, airmass = 1.3 (June 2001)"
16 4.53 4.18 sdss_i "SDSS Camera i Response Function, airmass = 1.3 (June 2001)"
17 4.51 4.0 sdss_z "SDSS Camera z Response Function, airmass = 1.3 (June 2001)"
18 9.06 7.44 wfpc2_f255w "HST WFPC2 F255W (http://acs.pha.jhu.edu/instrument/photometry/)"
19 7.4 6.05 wfpc2_f300w "HST WFPC2 F300W (http://acs.pha.jhu.edu/instrument/photometry/)"
20 6.64 5.46 wfpc2_f336w "HST WFPC2 F336W (http://acs.pha.jhu.edu/instrument/photometry/)"
21 5.36 5.51 wfpc2_f439w "HST WFPC2 F439W (http://acs.pha.jhu.edu/instrument/photometry/)"
22 5.22 5.31 wfpc2_f450w "HST WFPC2 F450W (http://acs.pha.jhu.edu/instrument/photometry/)"
23 4.82 4.83 wfpc2_f555w "HST WFPC2 F555W (http://acs.pha.jhu.edu/instrument/photometry/)"
24 4.7 4.61 wfpc2_f606w "HST WFPC2 F606W (http://acs.pha.jhu.edu/instrument/photometry/)"
25 4.52 4.11 wfpc2_f814w "HST WFPC2 F814W (http://acs.pha.jhu.edu/instrument/photometry/)"
26 4.52 4.0 wfpc2_f850lp "HST WFPC2 F850LP (http://acs.pha.jhu.edu/instrument/photometry/)"
27 5.38 5.48 wfc_acs_f435w "HST WFC ACS F435W (http://acs.pha.jhu.edu/instrument/photometry/)"
28 5.1 5.21 wfc_acs_f475w "HST ACS F475W (http://acs.pha.jhu.edu/instrument/photometry/)"
29 4.84 4.85 wfc_acs_f555w "HST ACS F555W (http://acs.pha.jhu.edu/instrument/photometry/"
30 4.72 4.64 wfc_acs_f606w "HST WFC ACS F606W (http://acs.pha.jhu.edu/instrument/photometry/)"
31 4.63 4.47 wfc_acs_f625w "HST ACS F625W (http://acs.pha.jhu.edu/instrument/photometry/)"
32 4.53 4.14 wfc_acs_f775w "HST WFC ACS F775W (http://acs.pha.jhu.edu/instrument/photometry/)"
33 4.52 4.1 wfc_acs_f814w "HST WFC ACS F814W (http://acs.pha.jhu.edu/instrument/photometry/)"
34 4.51 4.0 wfc_acs_f850lp "WFC ACS F850LP (http://acs.pha.jhu.edu/instrument/photometry/)"
35 10.71 8.95 wfc3_uvis_f218w "HST WFC3 UVIS F218W (http://www.stsci.edu/~WFC3/UVIS/SystemThroughput/) Chip #1"
36 10.1 8.37 wfc3_uvis_f225w "HST WFC3 UVIS F225W (http://www.stsci.edu/~WFC3/UVIS/SystemThroughput/) Chip #1"
37 8.54 6.99 wfc3_uvis_f275w "HST WFC3 UVIS F275W (http://www.stsci.edu/~WFC3/UVIS/SystemThroughput/) Chip #1"
38 6.65 5.47 wfc3_uvis_f336w "HST WFC3 UVIS F336W (http://www.stsci.edu/~WFC3/UVIS/SystemThroughput/) Chip #1"
39 5.85 5.64 wfc3_uvis_f390w "HST WFC3 UVIS F390W (http://www.stsci.edu/~WFC3/UVIS/SystemThroughput/) Chip #1"
40 5.34 5.49 wfc3_uvis_f438w "HST WFC3 UVIS F438W (http://www.stsci.edu/~WFC3/UVIS/SystemThroughput/) Chip #1"
41 5.08 5.19 wfc3_uvis_f475w "HST WFC3 UVIS F475W (http://www.stsci.edu/~WFC3/UVIS/SystemThroughput/) Chip #1"
42 4.86 4.89 wfc3_uvis_f555w "HST WFC3 UVIS F555W (http://www.stsci.edu/~WFC3/UVIS/SystemThroughput/) Chip #1"
